KCBS Value,Total Fidelity
0.0,2.037873454286933
0.0009635427653052644,2.05133666324123
0.0019270855306105289,2.065215531507942
0.0028906282959157933,2.079536800910304
0.0038541710612210577,2.0943267980862106
0.004817713826526323,2.1096168130947457
0.005781256591831588,2.1254468890775007
0.006744799357136851,2.1418544425521917
0.0077083421224421154,2.158883007704814
0.00867188488774738,2.176581259857683
0.009635427653052643,2.1949988416833617
0.01059897041835791,2.2141881163153565
0.011562513183663177,2.234205520515249
0.01252605594896844,2.255111453425976
0.013489598714273705,2.27697036531748
0.01445314147957897,2.2998532497110347
0.015416684244884231,2.3238338849515574
0.016380227010189496,2.348990260933672
0.01734376977549476,2.3754023817694705
0.018307312540800025,2.4031599422588825
0.01927085530610529,2.4323638574113433
0.020234398071410555,2.463121690692558
0.02119794083671582,2.4955523958221106
0.022161483602021085,2.5297707300864336
0.02312502636732635,2.5658911755289857
0.02408856913263161,2.6040426477061622
0.02505211189793688,2.6443853588091453
0.02601565466324214,2.6871082074293
0.02697919742854741,2.7324257573836026
0.027942740193852667,2.7805975890825803
0.02890628295915794,2.8319435842575764
0.0298698257244632,2.886776600382825
0.030833368489768462,2.9455444750842323
0.03179691125507373,3.0087523506825065
0.032760454020378985,3.07672443785334
0.03372399678568426,3.150367467383245
0.03468753955098952,3.2303623294559483
0.03565108231629479,3.3175393882295814
0.03661462508160005,3.413931554311489
0.03757816784690532,3.5218436291469377
0.03854171061221058,3.6416917753918314
0.03950525337751585,3.774654463683604
0.04046879614282111,3.9222190390364617
0.04143233890812637,4.084873551876786
0.04239588167343164,4.265206986414475
0.0433594244387369,4.5103236520109435
0.04432296720404217,4.966561980963687
0.04528650996934743,5.5165709838331765
0.0462500527346527,5.9487293450340415
0.04721359549995796,5.9999060401381685
